id,loc
1,"116.287149,39.858427"
2,"116.280487,39.871742"
3,"116.951660,34.808022"
4,"113.625368,34.746599"
5,"116.407526,39.904030"
6,"116.278193,39.848241"
7,"116.287149,39.858427"
8,"116.280487,39.871742"
9,"116.951660,34.808022"
10,"113.625368,34.746599"
11,"116.407526,39.904030"
12,"116.278193,39.848241"
13,"116.287149,39.858427"
14,"116.407526,39.904030"
15,"116.278193,39.848241"
16,"116.287149,39.858427"
17,"116.407526,39.904030"
18,"116.287149,39.858427"
19,"116.287149,39.858427"
20,"116.407526,39.904030"
21,"116.278193,39.848241"
22,"116.287149,39.858427"
23,"116.407526,39.904030"
24,"116.278193,39.848241"
25,"116.287149,39.858427"
26,"116.278193,39.848241"
27,"116.329519,39.972134"
28,"116.407526,39.904030"
29,"116.329519,39.972134"
30,"116.329519,39.972134"
31,"116.341014,39.784747"
32,"116.381042,39.777203"
33,"113.689667,22.960106"
34,"116.341014,39.784747"
35,"112.562398,37.873531"
36,"112.548879,37.870590"
37,"116.407526,39.904030"
38,"110.495986,19.935401"
39,"110.495986,19.935401"
40,"110.349228,20.017377"
41,"121.473701,31.230416"
42,"121.610583,31.205027"
43,"121.473701,31.230416"
44,"121.610583,31.205027"
45,"116.287149,39.858427"
46,"110.124565,24.104380"
47,"114.468664,38.037057"
48,"116.011220,39.484210"
49,"116.407526,39.904030"
50,"116.278193,39.848241"
51,"116.407526,39.904030"
52,"116.278193,39.848241"
53,"116.407526,39.904030"
54,"116.287149,39.858427"
55,"116.281418,39.870892"
56,"116.407526,39.904030"
57,"116.278193,39.848241"
58,"116.287149,39.858427"
59,"116.407526,39.904030"
60,"116.278193,39.848241"
61,"116.287149,39.858427"
62,"116.292311,39.821225"
63,"116.278193,39.848241"
64,"116.287149,39.858427"
65,"116.407526,39.904030"
66,"116.278193,39.848241"
67,"116.287149,39.858427"
68,"116.338341,39.826950"
69,"116.287149,39.858427"
70,"116.287149,39.858427"
71,"116.338341,39.826950"
72,"116.287149,39.858427"
73,"116.407526,39.904030"
74,"116.278193,39.848241"
75,"116.287149,39.858427"
76,"116.407526,39.904030"
77,"116.278193,39.848241"
78,"116.287149,39.858427"
79,"116.278193,39.848241"
80,"116.287149,39.858427"
81,"116.278193,39.848241"
82,"116.341014,39.784747"
83,"116.341014,39.784747"
84,"116.341014,39.784747"
85,"116.341014,39.784747"
86,"116.341014,39.784747"
87,"116.414673,39.631481"
88,"116.407526,39.904030"
89,"116.329519,39.972134"
90,"116.341014,39.784747"
91,"116.341014,39.784747"
92,"116.341014,39.784747"
93,"116.341014,39.784747"
94,"114.468664,38.037057"
95,"117.078295,39.982718"
96,"117.078295,39.982718"
97,"114.468664,38.037057"
98,"117.078295,39.982718"
99,"116.654434,40.172424"
100,"116.654434,40.172424"
101,"116.341014,39.784747"
102,"116.407526,39.904030"
103,"116.341014,39.784747"
104,"116.287149,39.858427"
105,"116.287149,39.858427"
106,"116.278193,39.848241"
107,"116.287149,39.858427"
108,"116.278193,39.848241"
109,"116.287149,39.858427"
110,"116.281418,39.870892"
111,"116.951660,34.808022"
112,"113.625368,34.746599"
113,"116.278193,39.848241"
114,"116.287149,39.858427"
115,"116.278193,39.848241"
116,"116.278193,39.848241"
117,"116.407526,39.904030"
118,"114.468664,38.037057"
119,"117.078295,39.982718"
120,"116.654434,40.172424"
121,"116.407526,39.904030"
122,"116.407526,39.904030"
123,"121.557610,31.240051"
124,"116.683752,39.538047"
125,"116.683752,39.538047"
126,"121.473701,31.230416"
127,"121.610583,31.205027"
128,"121.473701,31.230416"
129,"121.610583,31.205027"
130,"110.198293,20.044001"
131,"110.353972,20.003170"
132,"116.407526,39.904030"
133,"110.495986,19.935401"
134,"110.495986,19.935401"
135,"110.349228,20.017377"
136,"108.954239,34.265472"
137,"108.940174,34.341568"
138,"108.940174,34.341568"
139,"108.708991,34.329605"
140,"108.954239,34.265472"
141,"116.407526,39.904030"
142,"116.287149,39.858427"
143,"116.370628,39.860512"
144,"117.020359,36.668530"
145,"116.341014,39.784747"
146,"116.501617,39.685539"
147,"116.558327,39.688583"
148,"116.341014,39.784747"
149,"126.661669,45.742347"
150,"116.287149,39.858427"
151,"116.407526,39.904030"
152,"116.329519,39.972134"
153,"116.407526,39.904030"
154,"125.288319,43.833513"
155,"125.288319,43.833513"
156,"110.104691,19.443855"
157,"116.407526,39.904030"
158,"116.287149,39.858427"
159,"116.208504,39.824188"
160,"116.287149,39.858427"
161,"116.407526,39.904030"
162,"121.557610,31.240051"
163,"116.278193,39.848241"
164,"114.468664,38.037057"
165,"116.287149,39.858427"
166,"116.407526,39.904030"
167,"116.278193,39.848241"
168,"115.909228,28.675696"
169,"116.287149,39.858427"
170,"116.278193,39.848241"
171,"114.468664,38.037057"
172,"116.287149,39.858427"
173,"125.288319,43.833513"
174,"125.325990,43.896536"
175,"116.287149,39.858427"
176,"116.407526,39.904030"
177,"114.468664,38.037057"
178,"116.329519,39.972134"
179,"114.468664,38.037057"
180,"116.329519,39.972134"
181,"115.909228,28.675696"
182,"116.287149,39.858427"
183,"116.407526,39.904030"
184,"116.278193,39.848241"
185,"114.468664,38.037057"
186,"115.935553,38.935364"
187,"116.018005,38.933208"
188,"116.407526,39.904030"
189,"116.108650,38.994550"
190,"115.464806,38.873891"
191,"106.707410,26.598194"
192,"116.405285,39.904989"
193,"116.407526,39.904030"
194,"123.431474,41.805698"
195,"123.431474,41.805698"
196,"123.431474,41.805698"
197,"126.661669,45.742347"
198,"116.287149,39.858427"
199,"126.661669,45.742347"
200,"116.287149,39.858427"
201,"114.468664,38.037057"
202,"116.287149,39.858427"
203,"114.468664,38.037057"
204,"116.287149,39.858427"
205,"117.020359,36.668530"
206,"116.287149,39.858427"
207,"116.407526,39.904030"
208,"116.341014,39.784747"
209,"116.407526,39.904030"
210,"116.287149,39.858427"
211,"116.407526,39.904030"
212,"116.341014,39.784747"
213,"116.407526,39.904030"
214,"116.341014,39.784747"
215,"116.407526,39.904030"
216,"121.075087,32.064161"
217,"114.468664,38.037057"
218,"116.329519,39.972134"
219,"116.407526,39.904030"
220,"116.329519,39.972134"
221,"114.468664,38.037057"
222,"116.341014,39.784747"
223,"114.341861,30.546498"
224,"116.287149,39.858427"
225,"114.468664,38.037057"
226,"116.341014,39.784747"
227,"116.341014,39.784747"
228,"116.407526,39.904030"
229,"116.341014,39.784747"
230,"116.341014,39.784747"
231,"117.020359,36.668530"
232,"116.341014,39.784747"
233,"116.501617,39.685539"
234,"116.341014,39.784747"
235,"115.688692,41.669668"
236,"116.407526,39.904030"
237,"116.407526,39.904030"
238,"116.287149,39.858427"
239,"115.688692,41.669668"
240,"115.688692,41.669668"
241,"115.688692,41.669668"
242,"116.407526,39.904030"
243,"115.688692,41.669668"
244,"115.688692,41.669668"
245,"108.940174,34.341568"
246,"108.940174,34.341568"
247,"123.429440,41.835441"
248,"108.940174,34.341568"
249,"108.940174,34.341568"
250,"117.200983,39.084158"
251,"117.200983,39.084158"
252,"108.327546,22.815478"
253,"116.287149,39.858427"
254,"117.284922,31.861184"
255,"116.287149,39.858427"
256,"126.661669,45.742347"
257,"116.287149,39.858427"
258,"116.393547,39.805305"
259,"116.407526,39.904030"
260,"116.287149,39.858427"
261,"126.661669,45.742347"
262,"116.287149,39.858427"
263,"114.468664,38.037057"
264,"116.341014,39.784747"
265,"114.341861,30.546498"
266,"116.287149,39.858427"
267,"114.468664,38.037057"
268,"116.287149,39.858427"
269,"126.661669,45.742347"
270,"116.341014,39.784747"
271,"116.407526,39.904030"
272,"116.287149,39.858427"
273,"113.753602,34.765515"
274,"116.287149,39.858427"
275,"116.377754,39.829414"
276,"117.020359,36.668530"
277,"116.287149,39.858427"
278,"116.377754,39.829414"
279,"113.753602,34.765515"
280,"116.287149,39.858427"
281,"116.407526,39.904030"
282,"116.341014,39.784747"
283,"108.327546,22.815478"
284,"116.287149,39.858427"
285,"116.341014,39.784747"
286,"113.753602,34.765515"
287,"116.341014,39.784747"
288,"116.407526,39.904030"
289,"116.329519,39.972134"
290,"113.753602,34.765515"
291,"116.287149,39.858427"
292,"116.377754,39.829414"
293,"113.753602,34.765515"
294,"116.287149,39.858427"
295,"116.377754,39.829414"
296,"116.407526,39.904030"
297,"116.287149,39.858427"
298,"114.468664,38.037057"
299,"116.341014,39.784747"
300,"114.468664,38.037057"
301,"116.341014,39.784747"
302,"116.407526,39.904030"
303,"116.341014,39.784747"
304,"114.468664,38.037057"
305,"116.287149,39.858427"
306,"116.407526,39.904030"
307,"116.287149,39.858427"
308,"116.280487,39.871742"
309,"118.451439,37.523647"
310,"115.498703,35.249348"
311,"117.200983,39.084158"
312,"117.314324,39.086569"
313,"121.473701,31.230416"
314,"121.610583,31.205027"
315,"114.468664,38.037057"
316,"116.341014,39.784747"
317,"116.407526,39.904030"
318,"114.468664,38.037057"
319,"116.341014,39.784747"
320,"116.407526,39.904030"
321,"114.468664,38.037057"
322,"116.287149,39.858427"
323,"114.468664,38.037057"
324,"116.287149,39.858427"
325,"114.468664,38.037057"
326,"116.287149,39.858427"
327,"116.287149,39.858427"
328,"114.468664,38.037057"
329,"116.287149,39.858427"
330,"113.753602,34.765515"
331,"116.341014,39.784747"
332,"114.468664,38.037057"
333,"116.287149,39.858427"
334,"113.753602,34.765515"
335,"116.341014,39.784747"
336,"125.325990,43.896536"
337,"117.020359,36.668530"
338,"116.341014,39.784747"
339,"117.020359,36.668530"
340,"116.329519,39.972134"
341,"108.954239,34.265472"
342,"116.287149,39.858427"
343,"117.284922,31.861184"
344,"116.287149,39.858427"
345,"117.284922,31.861184"
346,"116.287149,39.858427"
347,"117.284922,31.861184"
348,"116.287149,39.858427"
349,"116.287149,39.858427"
350,"117.284922,31.861184"
351,"116.287149,39.858427"
352,"117.284922,31.861184"
353,"116.287149,39.858427"
354,"117.284922,31.861184"
355,"116.287149,39.858427"
356,"114.468664,38.037057"
357,"115.935553,38.935364"
358,"116.407526,39.904030"
359,"116.407526,39.904030"
360,"115.935553,38.935364"
361,"115.935553,38.935364"
362,"115.464806,38.873891"
363,"114.468664,38.037057"
364,"115.935553,38.935364"
365,"116.407526,39.904030"
366,"116.407526,39.904030"
367,"115.935553,38.935364"
368,"115.935553,38.935364"
369,"115.464806,38.873891"
370,"114.468664,38.037057"
371,"115.935553,38.935364"
372,"115.935553,38.935364"
373,"116.407526,39.904030"
374,"115.935553,38.935364"
375,"115.464806,38.873891"
376,"114.468664,38.037057"
377,"115.935553,38.935364"
378,"115.464806,38.873891"
379,"114.468664,38.037057"
380,"115.935553,38.935364"
381,"116.407526,39.904030"
382,"116.407526,39.904030"
383,"115.935553,38.935364"
384,"115.464806,38.873891"
